                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2634,                 1.7691,                  1.202,                0.90028,                0.35179,                0.56453,                0.26533,                 1.7078,                 3.2805,                 1.3094,             0.00065248,             0.00065248,             0.00065248
                      2,                 1.1545,                0.91269,                 1.0827,                0.67952,                0.35065,                 0.4993,                0.21984,                  1.758,                 2.5516,                 1.4768,               0.001319,               0.001319,               0.001319
                      3,                 1.1363,                0.79854,                  1.092,                0.61319,                0.47357,                0.50589,                0.21992,                 1.9958,                 2.1123,                 1.6519,               0.001985,               0.001985,               0.001985
                      4,                 1.1312,                0.73628,                 1.1037,                0.56649,                0.80519,                0.67437,                0.38567,                 1.5154,                 1.5323,                 1.3833,               0.001998,               0.001998,               0.001998
                      5,                 1.1061,                0.67759,                 1.0948,                0.67649,                0.76045,                0.77236,                0.42287,                  1.615,                 2.0823,                 1.3596,               0.001998,               0.001998,               0.001998
                      6,                 1.0844,                0.64004,                 1.0875,                0.86841,                0.84416,                0.90501,                0.54887,                 1.4003,                0.85936,                 1.2413,              0.0019965,              0.0019965,              0.0019965
                      7,                 1.0601,                0.61725,                 1.0856,                0.86889,                0.86072,                0.89487,                0.52637,                  1.405,                 1.0514,                 1.2396,              0.0019946,              0.0019946,              0.0019946
                      8,                 1.0518,                0.59665,                 1.0757,                0.92542,                0.85714,                 0.9016,                0.52274,                 1.4529,                0.82406,                 1.2664,              0.0019922,              0.0019922,              0.0019922
                      9,                 1.0349,                0.58342,                 1.0692,                0.93074,                0.87013,                0.91197,                 0.5276,                 1.4745,                0.98346,                 1.3066,              0.0019894,              0.0019894,              0.0019894
                     10,                 1.0312,                 0.5732,                 1.0691,                0.92173,                0.91763,                0.91693,                0.57728,                 1.3077,                0.71709,                 1.2042,              0.0019861,              0.0019861,              0.0019861
                     11,                 1.0202,                 0.5642,                 1.0648,                0.94567,                0.90423,                0.96198,                0.61136,                 1.2586,                0.72397,                 1.1379,              0.0019825,              0.0019825,              0.0019825
                     12,                 1.0196,                0.55968,                 1.0675,                0.90889,                0.92208,                0.94466,                0.56541,                 1.3683,                0.64733,                 1.1954,              0.0019784,              0.0019784,              0.0019784
                     13,                 1.0142,                0.54934,                 1.0631,                 0.9155,                 0.8961,                 0.9301,                0.60733,                 1.2769,                0.63496,                 1.1698,              0.0019738,              0.0019738,              0.0019738
                     14,                0.99374,                0.53836,                 1.0523,                0.97456,                0.88312,                0.95939,                0.57338,                 1.3774,                0.71887,                 1.2208,              0.0019689,              0.0019689,              0.0019689
                     15,                 0.9922,                0.53329,                 1.0523,                0.95767,                0.88153,                0.91215,                0.58198,                 1.3691,                0.70725,                 1.2296,              0.0019635,              0.0019635,              0.0019635
                     16,                0.99072,                0.52474,                 1.0501,                0.95907,                 0.9129,                0.95766,                0.62834,                 1.2471,                 0.6213,                 1.1567,              0.0019577,              0.0019577,              0.0019577
                     17,                0.98598,                0.52649,                  1.047,                0.93247,                0.93506,                0.95607,                0.59472,                 1.3283,                0.60526,                 1.2079,              0.0019515,              0.0019515,              0.0019515
                     18,                0.98161,                 0.5219,                 1.0497,                0.96774,                0.88312,                0.93554,                0.60782,                  1.319,                0.61587,                 1.1931,              0.0019449,              0.0019449,              0.0019449
                     19,                0.97631,                0.51944,                  1.045,                0.95894,                0.94805,                0.96872,                0.61273,                 1.2719,                0.56816,                 1.1713,              0.0019379,              0.0019379,              0.0019379
                     20,                0.96669,                0.51251,                 1.0395,                0.98063,                0.92208,                0.96621,                 0.6147,                 1.3276,                0.64681,                 1.1922,              0.0019305,              0.0019305,              0.0019305
                     21,                0.97295,                0.50947,                 1.0423,                0.96934,                0.94805,                0.97959,                0.63761,                 1.2686,                0.58635,                 1.1758,              0.0019226,              0.0019226,              0.0019226
                     22,                0.95927,                0.50796,                 1.0378,                 0.9818,                0.90909,                0.96267,                 0.5913,                 1.3414,                0.59357,                 1.1949,              0.0019144,              0.0019144,              0.0019144
                     23,                0.96104,                0.50166,                 1.0386,                0.96872,                0.96104,                0.98134,                0.64477,                 1.2322,                0.56194,                  1.141,              0.0019058,              0.0019058,              0.0019058
                     24,                0.95948,                0.50069,                 1.0359,                0.94647,                0.97403,                0.98036,                0.61814,                 1.2796,                0.57107,                 1.1623,              0.0018968,              0.0018968,              0.0018968
                     25,                0.95652,                0.49413,                 1.0339,                0.96124,                0.96633,                0.97376,                0.64219,                 1.2318,                0.54668,                 1.1516,              0.0018873,              0.0018873,              0.0018873
                     26,                0.94598,                0.48791,                 1.0293,                0.95077,                0.92208,                0.96336,                 0.6363,                 1.2528,                0.55576,                 1.1455,              0.0018775,              0.0018775,              0.0018775
                     27,                0.94613,                0.48577,                 1.0305,                 0.9806,                0.92208,                0.96204,                0.62529,                 1.3262,                0.55459,                 1.2094,              0.0018674,              0.0018674,              0.0018674
                     28,                 0.9414,                0.48409,                 1.0284,                0.98341,                0.90909,                0.95322,                0.62775,                 1.2651,                0.59382,                 1.1801,              0.0018568,              0.0018568,              0.0018568
                     29,                 0.9434,                0.48286,                 1.0299,                0.99624,                0.90909,                0.97461,                0.64386,                 1.2264,                0.52061,                 1.1652,              0.0018459,              0.0018459,              0.0018459
                     30,                0.93561,                 0.4768,                 1.0227,                0.99566,                0.94805,                0.98325,                0.67184,                  1.163,                0.50798,                 1.1174,              0.0018346,              0.0018346,              0.0018346
                     31,                0.93461,                0.47432,                 1.0252,                      1,                0.91998,                0.96748,                0.65994,                 1.1809,                0.54709,                 1.1257,              0.0018229,              0.0018229,              0.0018229
                     32,                0.93065,                 0.4696,                 1.0221,                0.96042,                0.90909,                0.94234,                0.62128,                  1.244,                0.55805,                 1.1827,              0.0018109,              0.0018109,              0.0018109
                     33,                0.93481,                0.46983,                 1.0223,                0.97292,                0.93319,                0.97923,                 0.6425,                 1.2166,                0.55726,                 1.1262,              0.0017986,              0.0017986,              0.0017986
                     34,                0.92838,                0.46963,                  1.019,                 0.9712,                0.87599,                0.93901,                 0.6094,                 1.2998,                0.61634,                   1.18,              0.0017859,              0.0017859,              0.0017859
                     35,                0.93398,                0.47091,                 1.0246,                0.95665,                0.94805,                0.96419,                0.62831,                 1.2695,                0.55489,                 1.1582,              0.0017728,              0.0017728,              0.0017728
